time,current
0,4.9995e-07
1e-05,4.9995e-07
2e-05,4.9995e-07
3e-05,4.9995e-07
4e-05,4.9995e-07
5e-05,4.9995e-07
6e-05,4.9995e-07
7e-05,4.9995e-07
8e-05,4.9995e-07
9e-05,4.9995e-07
0.0001,4.99949e-07
0.00011,4.99949e-07
0.00012,4.99949e-07
0.00013,4.99949e-07
0.00014,4.99949e-07
0.00015,4.99949e-07
0.00016,4.99949e-07
0.00017,4.99949e-07
0.00018,4.99949e-07
0.00019,4.99949e-07
0.0002,4.99949e-07
0.00021,4.99949e-07
0.00022,4.99949e-07
0.00023,4.99949e-07
0.00024,4.99949e-07
0.00025,4.99949e-07
0.00026,4.99949e-07
0.00027,4.99949e-07
0.00028,4.99949e-07
0.00029,4.99949e-07
0.0003,4.99948e-07
0.00031,4.99948e-07
0.00032,4.99948e-07
0.00033,4.99948e-07
0.00034,4.99948e-07
0.00035,4.99948e-07
0.00036,4.99948e-07
0.00037,4.99948e-07
0.00038,4.99948e-07
0.00039,4.99948e-07
0.0004,4.99948e-07
0.00041,4.99948e-07
0.00042,4.99948e-07
0.00043,4.99948e-07
0.00044,4.99948e-07
0.00045,4.99948e-07
0.00046,4.99948e-07
0.00047,4.99948e-07
0.00048,4.99948e-07
0.00049,4.99948e-07
0.0005,4.99947e-07
0.00051,4.99947e-07
0.00052,4.99947e-07
0.00053,4.99947e-07
0.00054,4.99947e-07
0.00055,4.99947e-07
0.00056,4.99947e-07
0.00057,4.99947e-07
0.00058,4.99947e-07
0.00059,4.99947e-07
0.0006,4.99947e-07
0.00061,4.99947e-07
0.00062,4.99947e-07
0.00063,4.99947e-07
0.00064,4.99947e-07
0.00065,4.99947e-07
0.00066,4.99947e-07
0.00067,4.99947e-07
0.00068,4.99947e-07
0.00069,4.99947e-07
0.0007,4.99946e-07
0.00071,4.99946e-07
0.00072,4.99946e-07
0.00073,4.99946e-07
0.00074,4.99946e-07
0.00075,4.99946e-07
0.00076,4.99946e-07
0.00077,4.99946e-07
0.00078,4.99946e-07
0.00079,4.99946e-07
0.0008,4.99946e-07
0.00081,4.99946e-07
0.00082,4.99946e-07
0.00083,4.99946e-07
0.00084,4.99946e-07
0.00085,4.99946e-07
0.00086,4.99946e-07
0.00087,4.99946e-07
0.00088,4.99946e-07
0.00089,4.99946e-07
0.0009,4.99945e-07
0.00091,4.99945e-07
0.00092,4.99945e-07
0.00093,4.99945e-07
0.00094,4.99945e-07
0.00095,4.99945e-07
0.00096,4.99945e-07
0.00097,4.99945e-07
0.00098,4.99945e-07
0.00099,4.99945e-07
0.001,4.99945e-07
0.00101,4.99945e-07
0.00102,4.99945e-07
0.00103,4.99945e-07
0.00104,4.99945e-07
0.00105,4.99945e-07
0.00106,4.99945e-07
0.00107,4.99945e-07
0.00108,4.99945e-07
0.00109,4.99945e-07
0.0011,4.99944e-07
0.00111,4.99944e-07
0.00112,4.99944e-07
0.00113,4.99944e-07
0.00114,4.99944e-07
0.00115,4.99944e-07
0.00116,4.99944e-07
0.00117,4.99944e-07
0.00118,4.99944e-07
0.00119,4.99944e-07
0.0012,4.99944e-07
0.00121,4.99944e-07
0.00122,4.99944e-07
0.00123,4.99944e-07
0.00124,4.99944e-07
0.00125,4.99944e-07
0.00126,4.99944e-07
0.00127,4.99944e-07
0.00128,4.99944e-07
0.00129,4.99944e-07
0.0013,4.99943e-07
0.00131,4.99943e-07
0.00132,4.99943e-07
0.00133,4.99943e-07
0.00134,4.99943e-07
0.00135,4.99943e-07
0.00136,4.99943e-07
0.00137,4.99943e-07
0.00138,4.99943e-07
0.00139,4.99943e-07
0.0014,4.99943e-07
0.00141,4.99943e-07
0.00142,4.99943e-07
0.00143,4.99943e-07
0.00144,4.99943e-07
0.00145,4.99943e-07
0.00146,4.99943e-07
0.00147,4.99943e-07
0.00148,4.99943e-07
0.00149,4.99943e-07
0.0015,4.99942e-07
0.00151,4.99942e-07
0.00152,4.99942e-07
0.00153,4.99942e-07
0.00154,4.99942e-07
0.00155,4.99942e-07
0.00156,4.99942e-07
0.00157,4.99942e-07
0.00158,4.99942e-07
0.00159,4.99942e-07
0.0016,4.99942e-07
0.00161,4.99942e-07
0.00162,4.99942e-07
0.00163,4.99942e-07
0.00164,4.99942e-07
0.00165,4.99942e-07
0.00166,4.99942e-07
0.00167,4.99942e-07
0.00168,4.99942e-07
0.00169,4.99942e-07
0.0017,4.99941e-07
0.00171,4.99941e-07
0.00172,4.99941e-07
0.00173,4.99941e-07
0.00174,4.99941e-07
0.00175,4.99941e-07
0.00176,4.99941e-07
0.00177,4.99941e-07
0.00178,4.99941e-07
0.00179,4.99941e-07
0.0018,4.99941e-07
0.00181,4.99941e-07
0.00182,4.99941e-07
0.00183,4.99941e-07
0.00184,4.99941e-07
0.00185,4.99941e-07
0.00186,4.99941e-07
0.00187,4.99941e-07
0.00188,4.99941e-07
0.00189,4.99941e-07
0.0019,4.9994e-07
0.00191,4.9994e-07
0.00192,4.9994e-07
0.00193,4.9994e-07
0.00194,4.9994e-07
0.00195,4.9994e-07
0.00196,4.9994e-07
0.00197,4.9994e-07
0.00198,4.9994e-07
0.00199,4.9994e-07
0.002,4.9994e-07
0.00201,4.9994e-07
0.00202,4.9994e-07
0.00203,4.9994e-07
0.00204,4.9994e-07
0.00205,4.9994e-07
0.00206,4.9994e-07
0.00207,4.9994e-07
0.00208,4.9994e-07
0.00209,4.9994e-07
0.0021,4.99939e-07
0.00211,4.99939e-07
0.00212,4.99939e-07
0.00213,4.99939e-07
0.00214,4.99939e-07
0.00215,4.99939e-07
0.00216,4.99939e-07
0.00217,4.99939e-07
0.00218,4.99939e-07
0.00219,4.99939e-07
0.0022,4.99939e-07
0.00221,4.99939e-07
0.00222,4.99939e-07
0.00223,4.99939e-07
0.00224,4.99939e-07
0.00225,4.99939e-07
0.00226,4.99939e-07
0.00227,4.99939e-07
0.00228,4.99939e-07
0.00229,4.99939e-07
0.0023,4.99938e-07
0.00231,4.99938e-07
0.00232,4.99938e-07
0.00233,4.99938e-07
0.00234,4.99938e-07
0.00235,4.99938e-07
0.00236,4.99938e-07
0.00237,4.99938e-07
0.00238,4.99938e-07
0.00239,4.99938e-07
0.0024,4.99938e-07
0.00241,4.99938e-07
0.00242,4.99938e-07
0.00243,4.99938e-07
0.00244,4.99938e-07
0.00245,4.99938e-07
0.00246,4.99938e-07
0.00247,4.99938e-07
0.00248,4.99938e-07
0.00249,4.99938e-07
0.0025,4.99937e-07
0.00251,4.99937e-07
0.00252,4.99937e-07
0.00253,4.99937e-07
0.00254,4.99937e-07
0.00255,4.99937e-07
0.00256,4.99937e-07
0.00257,4.99937e-07
0.00258,4.99937e-07
0.00259,4.99937e-07
0.0026,4.99937e-07
0.00261,4.99937e-07
0.00262,4.99937e-07
0.00263,4.99937e-07
0.00264,4.99937e-07
0.00265,4.99937e-07
0.00266,4.99937e-07
0.00267,4.99937e-07
0.00268,4.99937e-07
0.00269,4.99937e-07
0.0027,4.99936e-07
0.00271,4.99936e-07
0.00272,4.99936e-07
0.00273,4.99936e-07
0.00274,4.99936e-07
0.00275,4.99936e-07
0.00276,4.99936e-07
0.00277,4.99936e-07
0.00278,4.99936e-07
0.00279,4.99936e-07
0.0028,4.99936e-07
0.00281,4.99936e-07
0.00282,4.99936e-07
0.00283,4.99936e-07
0.00284,4.99936e-07
0.00285,4.99936e-07
0.00286,4.99936e-07
0.00287,4.99936e-07
0.00288,4.99936e-07
0.00289,4.99936e-07
0.0029,4.99935e-07
0.00291,4.99935e-07
0.00292,4.99935e-07
0.00293,4.99935e-07
0.00294,4.99935e-07
0.00295,4.99935e-07
0.00296,4.99935e-07
0.00297,4.99935e-07
0.00298,4.99935e-07
0.00299,4.99935e-07
0.003,4.99935e-07
0.00301,4.99935e-07
0.00302,4.99935e-07
0.00303,4.99935e-07
0.00304,4.99935e-07
0.00305,4.99935e-07
0.00306,4.99935e-07
0.00307,4.99935e-07
0.00308,4.99935e-07
0.00309,4.99935e-07
0.0031,4.99934e-07
0.00311,4.99934e-07
0.00312,4.99934e-07
0.00313,4.99934e-07
0.00314,4.99934e-07
0.00315,4.99934e-07
0.00316,4.99934e-07
0.00317,4.99934e-07
0.00318,4.99934e-07
0.00319,4.99934e-07
0.0032,4.99934e-07
0.00321,4.99934e-07
