time,voltage
0,4.9995e-07
1e-05,9.999e-07
2e-05,1.49985e-06
3e-05,1.9998e-06
4e-05,2.49975e-06
5e-05,2.9997e-06
6e-05,3.49965e-06
7e-05,3.9996e-06
8e-05,4.49955e-06
9e-05,4.9995e-06
0.0001,5.49945e-06
0.00011,5.9994e-06
0.00012,6.49935e-06
0.00013,6.99929e-06
0.00014,7.49924e-06
0.00015,7.99919e-06
0.00016,8.49914e-06
0.00017,8.99909e-06
0.00018,9.49904e-06
0.00019,9.99899e-06
0.0002,1.04989e-05
0.00021,1.09989e-05
0.00022,1.14988e-05
0.00023,1.19988e-05
0.00024,1.24987e-05
0.00025,1.29987e-05
0.00026,1.34986e-05
0.00027,1.39986e-05
0.00028,1.44985e-05
0.00029,1.49985e-05
0.0003,1.54984e-05
0.00031,1.59984e-05
0.00032,1.64983e-05
0.00033,1.69983e-05
0.00034,1.74982e-05
0.00035,1.79982e-05
0.00036,1.84981e-05
0.00037,1.89981e-05
0.00038,1.9498e-05
0.00039,1.9998e-05
0.0004,2.04979e-05
0.00041,2.09979e-05
0.00042,2.14978e-05
0.00043,2.19978e-05
0.00044,2.24977e-05
0.00045,2.29976e-05
0.00046,2.34976e-05
0.00047,2.39975e-05
0.00048,2.44975e-05
0.00049,2.49974e-05
0.0005,2.54974e-05
0.00051,2.59973e-05
0.00052,2.64973e-05
0.00053,2.69972e-05
0.00054,2.74972e-05
0.00055,2.79971e-05
0.00056,2.84971e-05
0.00057,2.8997e-05
0.00058,2.9497e-05
0.00059,2.99969e-05
0.0006,3.04969e-05
0.00061,3.09968e-05
0.00062,3.14967e-05
0.00063,3.19967e-05
0.00064,3.24966e-05
0.00065,3.29966e-05
0.00066,3.34965e-05
0.00067,3.39965e-05
0.00068,3.44964e-05
0.00069,3.49964e-05
0.0007,3.54963e-05
0.00071,3.59963e-05
0.00072,3.64962e-05
0.00073,3.69962e-05
0.00074,3.74961e-05
0.00075,3.79961e-05
0.00076,3.8496e-05
0.00077,3.89959e-05
0.00078,3.94959e-05
0.00079,3.99958e-05
0.0008,4.04958e-05
0.00081,4.09957e-05
0.00082,4.14957e-05
0.00083,4.19956e-05
0.00084,4.24956e-05
0.00085,4.29955e-05
0.00086,4.34955e-05
0.00087,4.39954e-05
0.00088,4.44954e-05
0.00089,4.49953e-05
0.0009,4.54952e-05
0.00091,4.59952e-05
0.00092,4.64951e-05
0.00093,4.69951e-05
0.00094,4.7495e-05
0.00095,4.7995e-05
0.00096,4.84949e-05
0.00097,4.89949e-05
